City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
242,chuy,-33.7,-53.46,35.69,83,0,6.06,UY,1594788887
243,wuxue,29.85,115.55,82.31,83,78,9.13,CN,1594788991
244,lerwick,60.15,-1.15,50.0,93,85,2.24,GB,1594788991
245,tsabong,-26.02,22.4,33.75,80,0,12.03,BW,1594788991
246,kontagora,10.4,5.47,69.98,96,84,4.5,NG,1594788991
247,san patricio,19.22,-104.7,80.65,86,37,6.85,MX,1594788886
248,zhigansk,66.77,123.37,73.83,40,53,8.59,RU,1594788991
249,tumbes,-3.57,-80.44,68.63,84,80,5.1,PE,1594788992
250,samarai,-10.62,150.67,76.12,86,100,4.36,PG,1594788617
251,nabire,-3.37,135.48,83.35,73,40,3.22,ID,1594788992
252,weihe,33.0,105.32,81.7,55,85,2.51,CN,1594788992
253,zhicheng,30.3,111.5,77.0,84,100,5.01,CN,1594788992
254,olafsvik,64.89,-23.71,51.3,88,100,5.46,IS,1594788992
255,south sioux city,42.47,-96.41,66.2,68,1,6.93,US,1594788976
256,kavaratti,10.57,72.64,84.2,79,90,11.41,IN,1594788948
257,shiyan,32.65,110.78,70.23,89,100,1.57,CN,1594788993
258,la ronge,55.1,-105.28,59.0,87,75,12.75,CA,1594788897
259,saint-pierre,-21.34,55.48,71.6,64,0,6.93,RE,1594788949
260,le port,-20.94,55.29,73.4,73,3,17.22,RE,1594788993
261,port-gentil,-0.72,8.78,73.51,82,97,8.95,GA,1594788993
262,podgornoye,51.73,39.15,59.0,93,75,11.18,RU,1594788994
263,akureyri,65.68,-18.09,50.0,93,90,3.36,IS,1594788994
264,balsas,-7.53,-46.04,72.61,52,6,3.22,BR,1594788994
265,cayenne,4.93,-52.33,75.2,100,34,6.46,GF,1594788726
266,malinyi,-8.93,36.13,66.47,65,81,1.83,TZ,1594788994
267,kununurra,-15.77,128.73,80.6,15,35,9.17,AU,1594788886
268,faanui,-16.48,-151.75,77.54,85,3,15.84,PF,1594788627
269,arawa,-6.21,155.54,82.06,76,100,1.16,PG,1594788994
270,sungairaya,0.7,108.9,86.56,59,75,0.36,ID,1594788995
271,bako,5.78,36.57,66.27,79,92,2.82,ET,1594788995
272,carutapera,-1.2,-46.02,74.75,92,38,5.01,BR,1594788927
273,sabang,5.89,95.32,83.91,72,100,4.47,ID,1594788995
274,uspenka,48.39,39.16,62.96,72,70,11.43,UA,1594788995
275,lahij,13.17,44.58,89.74,50,98,3.83,YE,1594788995
276,fortuna,40.6,-124.16,55.99,87,1,3.36,US,1594788996
277,gamba,-2.65,10.0,69.12,93,100,0.38,GA,1594788846
278,bria,6.54,21.99,66.4,95,77,1.9,CF,1594788996
279,kailua,21.4,-157.74,84.2,62,40,11.41,US,1594788996
280,wabag,-5.48,143.7,69.84,47,0,5.88,PG,1594788996
281,kalamare,-22.93,26.57,33.69,83,0,8.5,BW,1594788996
282,jalingo,8.88,11.37,71.98,92,99,4.38,NG,1594788996
283,rawson,-43.3,-65.1,38.32,72,18,7.96,AR,1594788997
284,anadyr,64.75,177.48,55.4,82,40,11.18,RU,1594788913
285,glowno,51.96,19.72,59.0,87,1,2.24,PL,1594788997
286,kokorevka,52.59,34.28,53.6,93,90,15.66,RU,1594788997
287,hasaki,35.73,140.83,72.0,88,75,9.17,JP,1594788619
288,evensk,61.95,159.23,53.98,86,98,7.45,RU,1594788926
289,shetpe,44.17,52.12,90.93,28,96,3.87,KZ,1594788997
290,rio grande,-32.03,-52.1,32.0,96,0,9.1,BR,1594788907
291,mayo,38.89,-76.51,75.2,88,1,4.45,US,1594788889
292,pangkalanbuun,-2.68,111.62,92.32,53,19,1.81,ID,1594788806
